date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2025-08,STORE_001,P001,감기약_1,일반의약품,감기약,box,120,50,106,0
2025-08,STORE_002,P001,감기약_1,일반의약품,감기약,box,85,45,323,0
2025-08,STORE_003,P001,감기약_1,일반의약품,감기약,box,110,25,148,0
2025-08,STORE_004,P001,감기약_1,일반의약품,감기약,box,135,65,36,0
2025-08,STORE_005,P001,감기약_1,일반의약품,감기약,box,95,55,111,0
2025-08,STORE_001,P003,고혈압_치료제_3,전문의약품,고혈압_치료제,box,130,45,325,0
2025-08,STORE_002,P003,고혈압_치료제_3,전문의약품,고혈압_치료제,box,110,45,107,0
2025-08,STORE_003,P003,고혈압_치료제_3,전문의약품,고혈압_치료제,box,80,60,342,0
2025-08,STORE_004,P003,고혈압_치료제_3,전문의약품,고혈압_치료제,box,125,35,155,0
2025-08,STORE_005,P003,고혈압_치료제_3,전문의약품,고혈압_치료제,box,115,50,161,0
2025-08,STORE_001,P004,멀미약_4,일반의약품,멀미약,box,100,50,84,0
2025-08,STORE_002,P004,멀미약_4,일반의약품,멀미약,box,85,50,257,0
2025-08,STORE_003,P004,멀미약_4,일반의약품,멀미약,box,150,30,282,0
2025-08,STORE_004,P004,멀미약_4,일반의약품,멀미약,box,85,80,208,0
2025-08,STORE_005,P004,멀미약_4,일반의약품,멀미약,box,110,60,235,0
2025-08,STORE_001,P006,항생제_6,전문의약품,항생제,pack,65,55,246,0
2025-08,STORE_002,P006,항생제_6,전문의약품,항생제,pack,105,45,178,0
2025-08,STORE_003,P006,항생제_6,전문의약품,항생제,pack,75,35,163,0
2025-08,STORE_004,P006,항생제_6,전문의약품,항생제,pack,115,65,91,0
2025-08,STORE_005,P006,항생제_6,전문의약품,항생제,pack,100,40,345,0
2025-08,STORE_001,P007,정신신경용제_7,전문의약품,정신신경용제,box,80,75,295,0
2025-08,STORE_002,P007,정신신경용제_7,전문의약품,정신신경용제,box,95,25,145,0
2025-08,STORE_003,P007,정신신경용제_7,전문의약품,정신신경용제,box,90,60,112,0
2025-08,STORE_004,P007,정신신경용제_7,전문의약품,정신신경용제,box,65,25,337,0
2025-08,STORE_005,P007,정신신경용제_7,전문의약품,정신신경용제,box,120,75,122,0
2025-08,STORE_001,P008,소화제_8,일반의약품,소화제,tube,105,40,335,0
2025-08,STORE_002,P008,소화제_8,일반의약품,소화제,tube,90,70,181,0
2025-08,STORE_003,P008,소화제_8,일반의약품,소화제,tube,100,70,351,0
2025-08,STORE_004,P008,소화제_8,일반의약품,소화제,tube,130,30,54,0
2025-08,STORE_005,P008,소화제_8,일반의약품,소화제,tube,100,40,309,0
2025-08,STORE_001,P009,진통소염제_9,전문의약품,진통소염제,bottle,110,50,339,0
2025-08,STORE_002,P009,진통소염제_9,전문의약품,진통소염제,bottle,90,25,40,0
2025-08,STORE_003,P009,진통소염제_9,전문의약품,진통소염제,bottle,85,30,140,0
2025-08,STORE_004,P009,진통소염제_9,전문의약품,진통소염제,bottle,100,50,261,0
2025-08,STORE_005,P009,진통소염제_9,전문의약품,진통소염제,bottle,105,50,82,0
2025-08,STORE_001,P010,기타_전문의약품_10,전문의약품,기타_전문의약품,pack,70,75,52,0
2025-08,STORE_002,P010,기타_전문의약품_10,전문의약품,기타_전문의약품,pack,75,60,94,0
2025-08,STORE_003,P010,기타_전문의약품_10,전문의약품,기타_전문의약품,pack,90,70,292,0
2025-08,STORE_004,P010,기타_전문의약품_10,전문의약품,기타_전문의약품,pack,110,35,239,0
2025-08,STORE_005,P010,기타_전문의약품_10,전문의약품,기타_전문의약품,pack,95,55,286,0
2025-08,STORE_001,P011,지사제_11,일반의약품,지사제,bottle,110,35,110,0
2025-08,STORE_002,P011,지사제_11,일반의약품,지사제,bottle,70,45,295,0
2025-08,STORE_003,P011,지사제_11,일반의약품,지사제,bottle,80,55,100,0
2025-08,STORE_004,P011,지사제_11,일반의약품,지사제,bottle,120,40,60,0
2025-08,STORE_005,P011,지사제_11,일반의약품,지사제,bottle,75,50,278,0
2025-08,STORE_001,P012,손소독제_12,의약외품,손소독제,pack,115,25,92,0
2025-08,STORE_002,P012,손소독제_12,의약외품,손소독제,pack,70,65,318,0
2025-08,STORE_003,P012,손소독제_12,의약외품,손소독제,pack,120,75,161,0
2025-08,STORE_004,P012,손소독제_12,의약외품,손소독제,pack,55,30,180,0
2025-08,STORE_005,P012,손소독제_12,의약외품,손소독제,pack,105,50,64,0
2025-08,STORE_001,P013,마스크_13,의약외품,마스크,box,85,45,81,0
2025-08,STORE_002,P013,마스크_13,의약외품,마스크,box,95,40,187,0
2025-08,STORE_003,P013,마스크_13,의약외품,마스크,box,85,40,93,0
2025-08,STORE_004,P013,마스크_13,의약외품,마스크,box,50,55,139,0
2025-08,STORE_005,P013,마스크_13,의약외품,마스크,box,135,55,351,0
2025-08,STORE_001,P014,마스크_14,의약외품,마스크,bottle,125,45,205,0
2025-08,STORE_002,P014,마스크_14,의약외품,마스크,bottle,120,45,121,0
2025-08,STORE_003,P014,마스크_14,의약외품,마스크,bottle,115,65,44,0
2025-08,STORE_004,P014,마스크_14,의약외품,마스크,bottle,125,55,201,0
2025-08,STORE_005,P014,마스크_14,의약외품,마스크,bottle,105,45,274,0
2025-08,STORE_001,P015,구강청결제_15,의약외품,구강청결제,bottle,125,35,339,0
2025-08,STORE_002,P015,구강청결제_15,의약외품,구강청결제,bottle,105,50,308,0
2025-08,STORE_003,P015,구강청결제_15,의약외품,구강청결제,bottle,65,50,318,0
2025-08,STORE_004,P015,구강청결제_15,의약외품,구강청결제,bottle,105,40,234,0
2025-08,STORE_005,P015,구강청결제_15,의약외품,구강청결제,bottle,100,50,221,0
2025-08,STORE_001,P016,항암제_16,전문의약품,항암제,tube,95,45,81,0
