date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2022-07,STORE_001,P001,감기약_1,일반의약품,감기약,box,75,60,117,55
2022-07,STORE_002,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,110,70,252,65
2022-07,STORE_003,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,70,25,314,20
2022-07,STORE_004,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,90,40,49,40
2022-07,STORE_005,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,95,45,309,35
2022-07,STORE_001,P026,항암제_26,전문의약품,항암제,bottle,100,50,38,50
2022-07,STORE_002,P026,항암제_26,전문의약품,항암제,bottle,75,55,104,60
2022-07,STORE_003,P026,항암제_26,전문의약품,항암제,bottle,100,50,194,50
2022-07,STORE_004,P026,항암제_26,전문의약품,항암제,bottle,105,70,338,60
2022-07,STORE_005,P026,항암제_26,전문의약품,항암제,bottle,90,75,93,70
2022-07,STORE_001,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,110,65,320,55
2022-07,STORE_001,P027,멀미약_27,일반의약품,멀미약,box,65,90,58,85
2022-07,STORE_003,P027,멀미약_27,일반의약품,멀미약,box,85,30,256,30
2022-07,STORE_004,P027,멀미약_27,일반의약품,멀미약,box,100,30,325,30
2022-07,STORE_005,P027,멀미약_27,일반의약품,멀미약,box,95,50,160,40
2022-07,STORE_001,P028,멀미약_28,일반의약품,멀미약,pack,115,40,41,40
2022-07,STORE_002,P028,멀미약_28,일반의약품,멀미약,pack,120,70,227,80
2022-07,STORE_003,P028,멀미약_28,일반의약품,멀미약,pack,115,75,55,60
2022-07,STORE_004,P028,멀미약_28,일반의약품,멀미약,pack,135,35,146,35
2022-07,STORE_005,P028,멀미약_28,일반의약품,멀미약,pack,95,35,252,40
2022-07,STORE_001,P029,멀미약_29,일반의약품,멀미약,pack,125,70,188,65
2022-07,STORE_002,P027,멀미약_27,일반의약품,멀미약,box,115,40,256,45
2022-07,STORE_002,P029,멀미약_29,일반의약품,멀미약,pack,130,55,212,50
2022-07,STORE_005,P024,방역용품_24,의약외품,방역용품,bottle,80,60,357,50
